Algorithm;Input_Data_Length;Work_Time
Rabin-Karp ;32;3
Rabin-Karp ;64;1
Rabin-Karp ;128;1
Rabin-Karp ;256;2
Rabin-Karp ;512;3
Rabin-Karp ;1024;7
Rabin-Karp ;2048;18
Rabin-Karp ;4096;27
Rabin-Karp ;8192;65
Rabin-Karp ;16384;115
Rabin-Karp ;32768;220
Rabin-Karp ;65536;448
Rabin-Karp ;131072;877
Rabin-Karp ;262144;1854
Rabin-Karp ;524288;3643
Rabin-Karp ;1048576;7330
Rabin-Karp ;2097152;14602
Rabin-Karp ;4194304;29222
Knuth-Morris-Pratt ;32;2
Knuth-Morris-Pratt ;64;1
Knuth-Morris-Pratt ;128;1
Knuth-Morris-Pratt ;256;2
Knuth-Morris-Pratt ;512;4
Knuth-Morris-Pratt ;1024;8
Knuth-Morris-Pratt ;2048;16
Knuth-Morris-Pratt ;4096;31
Knuth-Morris-Pratt ;8192;65
Knuth-Morris-Pratt ;16384;132
Knuth-Morris-Pratt ;32768;261
Knuth-Morris-Pratt ;65536;521
Knuth-Morris-Pratt ;131072;1035
Knuth-Morris-Pratt ;262144;2100
Knuth-Morris-Pratt ;524288;4012
Knuth-Morris-Pratt ;1048576;8989
Knuth-Morris-Pratt ;2097152;16240
Knuth-Morris-Pratt ;4194304;32586
